address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"1320 ADDISON ST BERKELEY, CA 94702 ",1320,ADDISON ST,BERKELEY,CA,94702,-122.284626,37.86834,06,001,423100,1
"1792 SHATTUCK AV BERKELEY, CA 94709 ",1792,SHATTUCK AV,BERKELEY,CA,94709,-122.268997,37.875008,06,001,422400,3
"2840 WEBSTER ST BERKELEY, CA 94705 ",2840,WEBSTER ST,BERKELEY,CA,94705,-122.24859,37.855761,06,001,423800,3
"1030 EVELYN AV ALBANY, CA 94706 ",1030,EVELYN AV,ALBANY,CA,94706,-122.293434,37.88638,06,001,420500,2
"923 EUCLID AVE BERKELEY, CA 94708 ",923,EUCLID AVE,BERKELEY,CA,94708,-122.263389,37.894392,06,001,421500,2
"632 THE ALAMEDA BERKELEY, CA 94707 ",632,THE ALAMEDA,BERKELEY,CA,94707,-122.281407,37.89626,06,001,421300,1
"1413 FAIRVIEW ST BERKELEY, CA 94702 ",1413,FAIRVIEW ST,BERKELEY,CA,94702,-122.279462,37.849625,06,001,424002,2
"2350 SPAULDING AV BERKELEY, CA 94703 ",2350,SPAULDING AV,BERKELEY,CA,94703,-122.280578,37.864242,06,001,423000,3
"406 BOYNTON AV BERKELEY, CA 94707 ",406,BOYNTON AV,BERKELEY,CA,94707,-122.277203,37.902802,06,001,421200,4
"2427 DURANT AV BERKELEY, CA 94704 ",2427,DURANT AV,BERKELEY,CA,94704,-122.260142,37.867951,06,001,422800,2
"2201 VIRGINIA ST BERKELEY, CA 94709 ",2201,VIRGINIA ST,BERKELEY,CA,94709,-122.26635,37.877078,06,001,422400,4
"2477 VIRGINIA ST BERKELEY, CA 94709 ",2477,VIRGINIA ST,BERKELEY,CA,94709,-122.261356,37.877959,06,001,422500,1
"1080 JONES ST BERKELEY, CA 94710 ",1080,JONES ST,BERKELEY,CA,94710,-122.295305,37.876057,06,001,422100,1
"1209 OXFORD ST BERKELEY, CA 94709 ",1209,OXFORD ST,BERKELEY,CA,94709,-122.267331,37.885616,06,001,421700,1
"718 CONTRA COSTA AV BERKELEY, CA 94707 ",718,CONTRA COSTA AV,BERKELEY,CA,94707,-122.277382,37.896219,06,001,421200,3
"910 COLUSA AVE BERKELEY, CA 94707 ",910,COLUSA AVE,BERKELEY,CA,94707,-122.279496,37.890875,06,001,421300,4
"2117 DELAWARE ST BERKELEY, CA 94709 ",2117,DELAWARE ST,BERKELEY,CA,94709,-122.268154,37.875133,06,001,422400,4
"1464 OLYMPUS AVE BERKELEY, CA 94708 ",1464,OLYMPUS AVE,BERKELEY,CA,94708,-122.251747,37.882684,06,001,421600,2
"1834 FOURTH ST BERKELEY, CA 94710 ",1834,FOURTH ST,BERKELEY,CA,94710,-122.300593,37.869266,06,001,422000,2
"817 JACKSON ST ALBANY, CA 94706 ",817,JACKSON ST,ALBANY,CA,94706,-122.30186,37.891171,06,001,420302,1
